rank_type,rank,annual_net_fraction_abs_H_minus_C_over_total,abs_annual_net_mwh,annual_net_mwh_H_minus_C,heat_mwh,cool_mwh,cool_heat_ratio,hourly_abs_net_mwh,peak_abs_net_kw,zarin_pass_minmax,building_ids,building_names
best_closest_annual_net_zero,1,0.000006,15.6,15.6,1372727.3,1372711.7,1.000,1871414.3,2837.4,0.189312,2 9 14 15 23,"hotel_1, office_7, res_5, res_6, school_1"
best_closest_annual_net_zero,2,0.000011,29.4,29.4,1373429.7,1373400.3,1.000,1872327.9,2838.6,0.189321,2 8 11 12 23,"hotel_1, office_6, res_2, res_3, school_1"
best_closest_annual_net_zero,3,0.000017,49.3,-49.3,1474763.0,1474812.3,1.000,2055044.5,3113.5,0.178741,2 6 9 20 23,"hotel_1, office_4, office_7, restaurant_2, school_1"
best_closest_annual_net_zero,4,0.000022,60.2,-60.2,1372015.6,1372075.8,1.000,1870069.9,2837.4,0.189422,2 9 14 17 23,"hotel_1, office_7, res_5, res_8, school_1"
best_closest_annual_net_zero,5,0.000026,72.3,72.3,1373361.0,1373288.7,1.000,1871978.6,2838.2,0.189379,2 8 10 11 23,"hotel_1, office_6, res_1, res_2, school_1"
best_closest_annual_net_zero,6,0.000034,92.5,-92.5,1372704.8,1372797.3,1.000,1871415.8,2837.3,0.189322,2 9 13 14 23,"hotel_1, office_7, res_4, res_5, school_1"
best_closest_annual_net_zero,7,0.000044,120.0,-120.0,1373098.8,1373218.8,1.000,1871820.5,2837.6,0.189361,2 8 14 16 23,"hotel_1, office_6, res_5, res_7, school_1"
best_closest_annual_net_zero,8,0.000049,134.9,-134.9,1372964.5,1373099.5,1.000,1871636.5,2838.6,0.189364,2 8 11 15 23,"hotel_1, office_6, res_2, res_6, school_1"
best_closest_annual_net_zero,9,0.000055,150.2,150.2,1373171.4,1373021.2,1.000,1871776.1,2839.1,0.189351,2 8 14 18 23,"hotel_1, office_6, res_5, res_9, school_1"
best_closest_annual_net_zero,10,0.000064,142.1,-142.1,1110058.5,1110200.6,1.000,1730989.7,3130.6,0.123827,1 4 11 20 23,"mall_1, office_2, res_2, restaurant_2, school_1"
best_closest_annual_net_zero,11,0.000066,180.0,180.0,1373192.5,1373012.6,1.000,1872107.2,2837.4,0.189268,2 9 12 14 23,"hotel_1, office_7, res_3, res_5, school_1"
best_closest_annual_net_zero,12,0.000077,210.8,-210.8,1372252.8,1372463.6,1.000,1870291.6,2838.6,0.189474,2 8 11 17 23,"hotel_1, office_6, res_2, res_8, school_1"
best_closest_annual_net_zero,13,0.000081,222.8,222.8,1373123.8,1372901.0,1.000,1871757.4,2836.9,0.189326,2 9 10 14 23,"hotel_1, office_7, res_1, res_5, school_1"
