rank_type,rank,net_balance_score_abs_net_over_total,net_closeness,abs_net_mwh,signed_net_mwh,peak_abs_net_kw,mean_abs_net_kw,zarin_pass_minmax,heat_mwh,cool_mwh,cool_heat_ratio,building_ids,building_names
best_closest_to_zero,1,0.581964,0.418036,1046390.3,-527166.1,590.0,119.5,0.264252,635433.9,1162600.0,1.830,2 11 16 17 18,"hotel_1, res_2, res_7, res_8, res_9"
best_closest_to_zero,2,0.581993,0.418007,1046319.6,-528072.4,589.0,119.4,0.264228,634874.4,1162946.8,1.832,2 10 16 17 18,"hotel_1, res_1, res_7, res_8, res_9"
best_closest_to_zero,3,0.582009,0.417991,1047278.7,-526704.8,588.9,119.6,0.264215,636357.4,1163062.2,1.828,2 10 11 16 17,"hotel_1, res_1, res_2, res_7, res_8"
best_closest_to_zero,4,0.582015,0.417985,1047216.0,-526434.6,590.4,119.5,0.264211,636430.0,1162864.6,1.827,2 10 11 17 18,"hotel_1, res_1, res_2, res_8, res_9"
best_closest_to_zero,5,0.582016,0.417984,1046055.9,-528387.8,589.3,119.4,0.264210,634455.3,1162843.1,1.833,2 13 16 17 18,"hotel_1, res_4, res_7, res_8, res_9"
best_closest_to_zero,6,0.582018,0.417982,1046022.5,-528279.6,589.4,119.4,0.264209,634477.9,1162757.5,1.833,2 15 16 17 18,"hotel_1, res_6, res_7, res_8, res_9"
best_closest_to_zero,7,0.582031,0.417969,1047014.1,-527020.2,589.3,119.5,0.264198,635938.3,1162958.6,1.829,2 11 13 16 17,"hotel_1, res_2, res_4, res_7, res_8"
best_closest_to_zero,8,0.582033,0.417967,1046980.3,-526912.1,589.4,119.5,0.264196,635960.9,1162873.0,1.829,2 11 15 16 17,"hotel_1, res_2, res_6, res_7, res_8"
best_closest_to_zero,9,0.582036,0.417964,1046950.2,-526750.0,590.7,119.5,0.264194,636011.0,1162761.0,1.828,2 11 13 17 18,"hotel_1, res_2, res_4, res_8, res_9"
best_closest_to_zero,10,0.582039,0.417961,1046919.5,-526641.8,590.8,119.5,0.264191,636033.5,1162675.4,1.828,2 11 15 17 18,"hotel_1, res_2, res_6, res_8, res_9"
best_closest_to_zero,11,0.582060,0.417940,1046941.9,-527926.5,588.3,119.5,0.264175,635378.9,1163305.4,1.831,2 10 13 16 17,"hotel_1, res_1, res_4, res_7, res_8"
best_closest_to_zero,12,0.582062,0.417938,1046909.3,-527818.3,588.4,119.5,0.264173,635401.4,1163219.8,1.831,2 10 15 16 17,"hotel_1, res_1, res_6, res_7, res_8"
best_closest_to_zero,13,0.582064,0.417936,1046876.2,-527656.2,589.7,119.5,0.264172,635451.5,1163107.8,1.830,2 10 13 17 18,"hotel_1, res_1, res_4, res_8, res_9"
best_closest_to_zero,14,0.582067,0.417933,1046846.1,-527548.1,589.8,119.5,0.264169,635474.1,1163022.2,1.830,2 10 15 17 18,"hotel_1, res_1, res_6, res_8, res_9"
best_closest_to_zero,15,0.582068,0.417932,1047117.9,-526626.9,589.8,119.5,0.264168,636167.8,1162794.7,1.828,2 14 16 17 18,"hotel_1, res_5, res_7, res_8, res_9"
best_closest_to_zero,16,0.582083,0.417917,1047840.3,-526288.7,589.7,119.6,0.264157,636934.5,1163223.2,1.826,2 10 11 13 17,"hotel_1, res_1, res_2, res_4, res_8"
best_closest_to_zero,17,0.582084,0.417916,1048077.3,-525259.3,589.8,119.6,0.264156,637650.8,1162910.1,1.824,2 11 14 16 17,"hotel_1, res_2, res_5, res_7, res_8"
