rank_type,rank,zp_minmax,sim_fraction_total,sim_mwh,dominant_mwh,heat_mwh,cool_mwh,cool_heat_ratio,building_ids,building_names
best,1,0.264252,0.418036,375821.8,1422212.1,635433.9,1162600.0,1.830,2 11 16 17 18,"hotel_1, res_2, res_7, res_8, res_9"
best,2,0.264228,0.418007,375750.8,1422070.4,634874.4,1162946.8,1.832,2 10 16 17 18,"hotel_1, res_1, res_7, res_8, res_9"
best,3,0.264215,0.417991,376070.4,1423349.2,636357.4,1163062.2,1.828,2 10 11 16 17,"hotel_1, res_1, res_2, res_7, res_8"
best,4,0.264211,0.417985,376039.3,1423255.4,636430.0,1162864.6,1.827,2 10 11 17 18,"hotel_1, res_1, res_2, res_8, res_9"
best,5,0.264210,0.417984,375621.3,1421677.2,634455.3,1162843.1,1.833,2 13 16 17 18,"hotel_1, res_4, res_7, res_8, res_9"
best,6,0.264209,0.417982,375606.5,1421629.0,634477.9,1162757.5,1.833,2 15 16 17 18,"hotel_1, res_6, res_7, res_8, res_9"
best,7,0.264198,0.417969,375941.4,1422955.5,635938.3,1162958.6,1.829,2 11 13 16 17,"hotel_1, res_2, res_4, res_7, res_8"
best,8,0.264196,0.417967,375926.8,1422907.1,635960.9,1162873.0,1.829,2 11 15 16 17,"hotel_1, res_2, res_6, res_7, res_8"
best,9,0.264194,0.417964,375910.9,1422861.1,636011.0,1162761.0,1.828,2 11 13 17 18,"hotel_1, res_2, res_4, res_8, res_9"
best,10,0.264191,0.417961,375894.7,1422814.2,636033.5,1162675.4,1.828,2 11 15 17 18,"hotel_1, res_2, res_6, res_8, res_9"
best,11,0.264175,0.417940,375871.2,1422813.1,635378.9,1163305.4,1.831,2 10 13 16 17,"hotel_1, res_1, res_4, res_7, res_8"
best,12,0.264173,0.417938,375855.9,1422765.2,635401.4,1163219.8,1.831,2 10 15 16 17,"hotel_1, res_1, res_6, res_7, res_8"
best,13,0.264172,0.417936,375841.6,1422717.7,635451.5,1163107.8,1.830,2 10 13 17 18,"hotel_1, res_1, res_4, res_8, res_9"
best,14,0.264169,0.417933,375825.1,1422671.2,635474.1,1163022.2,1.830,2 10 15 17 18,"hotel_1, res_1, res_6, res_8, res_9"
best,15,0.264168,0.417932,375922.3,1423040.2,636167.8,1162794.7,1.828,2 14 16 17 18,"hotel_1, res_5, res_7, res_8, res_9"
best,16,0.264157,0.417917,376158.7,1423999.0,636934.5,1163223.2,1.826,2 10 11 13 17,"hotel_1, res_1, res_2, res_4, res_8"
best,17,0.264156,0.417916,376241.8,1424319.1,637650.8,1162910.1,1.824,2 11 14 16 17,"hotel_1, res_2, res_5, res_7, res_8"
best,18,0.264155,0.417915,375726.1,1422372.4,634982.4,1163116.1,1.832,2 13 15 16 17,"hotel_1, res_4, res_6, res_7, res_8"
best,19,0.264154,0.417915,376142.9,1423951.7,636957.1,1163137.6,1.826,2 10 11 15 17,"hotel_1, res_1, res_2, res_6, res_8"
best,20,0.264151,0.417911,375696.0,1422277.5,635055.0,1162918.5,1.831,2 13 15 17 18,"hotel_1, res_4, res_6, res_8, res_9"
best,21,0.264151,0.417910,376210.5,1424225.5,637723.4,1162712.5,1.823,2 11 14 17 18,"hotel_1, res_2, res_5, res_8, res_9"
best,22,0.264137,0.417893,376014.3,1423557.7,636538.0,1163034.0,1.827,2 11 13 15 17,"hotel_1, res_2, res_4, res_6, res_8"
best,23,0.264132,0.417887,376171.4,1424176.8,637091.3,1163256.9,1.826,2 10 14 16 17,"hotel_1, res_1, res_5, res_7, res_8"
best,24,0.264129,0.417883,376141.1,1424082.2,637163.9,1163059.3,1.825,2 10 14 17 18,"hotel_1, res_1, res_5, res_8, res_9"
best,25,0.264115,0.417866,375945.3,1423414.0,635978.6,1163380.7,1.829,2 10 13 15 17,"hotel_1, res_1, res_4, res_6, res_8"
worst,1,0.012498,0.024688,2479.0,198341.6,118188.3,82632.2,0.699,10 11 12 13 14,"res_1, res_2, res_3, res_4, res_5"
worst,2,0.012570,0.024828,2475.8,196959.0,117264.8,82170.0,0.701,11 12 13 14 18,"res_2, res_3, res_4, res_5, res_9"
worst,3,0.012592,0.024871,2473.3,196413.9,117080.1,81807.1,0.699,11 12 13 14 17,"res_2, res_3, res_4, res_5, res_8"
worst,4,0.012613,0.024912,2494.1,197740.7,117791.8,82443.0,0.700,11 12 13 14 15,"res_2, res_3, res_4, res_5, res_6"
worst,5,0.012621,0.024928,2483.5,196770.9,117196.1,82058.4,0.700,10 11 13 14 18,"res_1, res_2, res_4, res_5, res_9"
worst,6,0.012626,0.024938,2493.2,197464.2,117683.8,82273.6,0.699,10 11 12 14 18,"res_1, res_2, res_3, res_5, res_9"
worst,7,0.012632,0.024950,2485.3,196736.8,116705.3,82516.8,0.707,10 12 13 14 18,"res_1, res_3, res_4, res_5, res_9"
