Feature Id,Feature Name,Mapper Class
1,mall_1,URBANopt::Scenario::HighEfficiencyMapper
2,hotel_1,URBANopt::Scenario::HighEfficiencyMapper
3,office_1,URBANopt::Scenario::HighEfficiencyMapper
4,office_2,URBANopt::Scenario::HighEfficiencyMapper
5,office_3,URBANopt::Scenario::HighEfficiencyMapper
6,office_4,URBANopt::Scenario::HighEfficiencyMapper
7,office_5,URBANopt::Scenario::HighEfficiencyMapper
8,office_6,URBANopt::Scenario::HighEfficiencyMapper
9,office_7,URBANopt::Scenario::HighEfficiencyMapper
10,res_1,URBANopt::Scenario::HighEfficiencyMapper
11,res_2,URBANopt::Scenario::HighEfficiencyMapper
12,res_3,URBANopt::Scenario::HighEfficiencyMapper
13,res_4,URBANopt::Scenario::HighEfficiencyMapper
14,res_5,URBANopt::Scenario::HighEfficiencyMapper
15,res_6,URBANopt::Scenario::HighEfficiencyMapper
16,res_7,URBANopt::Scenario::HighEfficiencyMapper
17,res_8,URBANopt::Scenario::HighEfficiencyMapper
18,res_9,URBANopt::Scenario::HighEfficiencyMapper
19,restaurant_1,URBANopt::Scenario::HighEfficiencyMapper
20,restaurant_2,URBANopt::Scenario::HighEfficiencyMapper
21,restaurant_3,URBANopt::Scenario::HighEfficiencyMapper
22,restaurant_4,URBANopt::Scenario::HighEfficiencyMapper
23,school_1,URBANopt::Scenario::HighEfficiencyMapper
