Feature Id,Feature Name,Mapper Class
1,mall_1,URBANopt::Scenario::MallMapper
2,hotel_1,URBANopt::Scenario::HotelMapper
3,office_1,URBANopt::Scenario::Office_1_2Mapper
4,office_2,URBANopt::Scenario::Office_1_2Mapper
5,office_3,URBANopt::Scenario::Office_3Mapper
6,office_4,URBANopt::Scenario::Office_4_5Mapper
7,office_5,URBANopt::Scenario::Office_4_5Mapper
8,office_6,URBANopt::Scenario::Office_6_7Mapper
9,office_7,URBANopt::Scenario::Office_6_7Mapper
10,res_1,URBANopt::Scenario::ResidentialMapper
11,res_2,URBANopt::Scenario::ResidentialMapper
12,res_3,URBANopt::Scenario::ResidentialMapper
13,res_4,URBANopt::Scenario::ResidentialMapper
14,res_5,URBANopt::Scenario::ResidentialMapper
15,res_6,URBANopt::Scenario::ResidentialMapper
16,res_7,URBANopt::Scenario::ResidentialMapper
17,res_8,URBANopt::Scenario::ResidentialMapper
18,res_9,URBANopt::Scenario::ResidentialMapper
19,restaurant_1,URBANopt::Scenario::Restaurant_1Mapper
20,restaurant_2,URBANopt::Scenario::Restaurant_2_3Mapper
21,restaurant_3,URBANopt::Scenario::Restaurant_2_3Mapper
22,restaurant_4,URBANopt::Scenario::Restaurant_4Mapper
23,school_1,URBANopt::Scenario::SchoolMapper
