Feature Id,Feature Name,Mapper Class
1,mall_1,URBANopt::Scenario::ThermalStorageMapper
2,hotel_1,URBANopt::Scenario::ThermalStorageMapper
3,office_1,URBANopt::Scenario::ThermalStorageMapper
4,office_2,URBANopt::Scenario::ThermalStorageMapper
5,office_3,URBANopt::Scenario::ThermalStorageMapper
6,office_4,URBANopt::Scenario::ThermalStorageMapper
7,office_5,URBANopt::Scenario::ThermalStorageMapper
8,office_6,URBANopt::Scenario::ThermalStorageMapper
9,office_7,URBANopt::Scenario::ThermalStorageMapper
10,res_1,URBANopt::Scenario::ThermalStorageMapper
11,res_2,URBANopt::Scenario::ThermalStorageMapper
12,res_3,URBANopt::Scenario::ThermalStorageMapper
13,res_4,URBANopt::Scenario::ThermalStorageMapper
14,res_5,URBANopt::Scenario::ThermalStorageMapper
15,res_6,URBANopt::Scenario::ThermalStorageMapper
16,res_7,URBANopt::Scenario::ThermalStorageMapper
17,res_8,URBANopt::Scenario::ThermalStorageMapper
18,res_9,URBANopt::Scenario::ThermalStorageMapper
19,restaurant_1,URBANopt::Scenario::ThermalStorageMapper
20,restaurant_2,URBANopt::Scenario::ThermalStorageMapper
21,restaurant_3,URBANopt::Scenario::ThermalStorageMapper
22,restaurant_4,URBANopt::Scenario::ThermalStorageMapper
23,school_1,URBANopt::Scenario::ThermalStorageMapper
